term,source,definition,langue,auto_definition,definition_finale,valide_auto,definition_finale_corrigée
prosodic analyses intonational,abstract,,en,,,non,"Prosodic analyses intonational is a concept used in the fields of linguistics, translation, or education."
prosodic cues,abstract,,es,"Although l1 english listeners rely primarily on segmental cues for accent detection, french listeners rely more on prosodic cues, intonation particularly.","Prosodic cues refers to Although l1 english listeners rely primarily on segmental cues for accent detection, french listeners rely more on prosodic cues, intonation particularly.",oui,"Prosodic cues refers to Although l1 english listeners rely primarily on segmental cues for accent detection, french listeners rely more on prosodic cues, intonation particularly."
prosodic cues intonation,abstract,,fr,,,non,"Prosodic cues intonation est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
prosodic interlanguage,abstract,,fr,This thesis is a study of the prosodic interlanguage of students of english as a foreign language whose native language is french or spanish,Prosodic interlanguage refers to This thesis is a study of the prosodic interlanguage of students of english as a foreign language whose native language is french or spanish.,oui,Prosodic interlanguage refers to This thesis is a study of the prosodic interlanguage of students of english as a foreign language whose native language is french or spanish.
prosodic interlanguage students,abstract,,en,,,non,"Prosodic interlanguage students is a concept used in the fields of linguistics, translation, or education."
prosodic level,abstract,,fr,"We present a speech rhythm analysis workflow based on two different but complementary methodologies: one at a segmental/syllabic level, and another one at a suprasegmental/prosodic level","Prosodic level refers to We present a speech rhythm analysis workflow based on two different but complementary methodologies: one at a segmental/syllabic level, and another one at a suprasegmental/prosodic level.",oui,"Prosodic level refers to We present a speech rhythm analysis workflow based on two different but complementary methodologies: one at a segmental/syllabic level, and another one at a suprasegmental/prosodic level."
prosodic level bimodal,abstract,,fr,,,non,"Prosodic level bimodal est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
prosodic systems,abstract,,fr,This provides a methodological framework for the phonetic analysis and phonological interpretation of this type of prosodic systems,Prosodic systems refers to This provides a methodological framework for the phonetic analysis and phonological interpretation of this type of prosodic systems.,oui,Prosodic systems refers to This provides a methodological framework for the phonetic analysis and phonological interpretation of this type of prosodic systems.
prosodic systems second,abstract,,en,,,non,"Prosodic systems second is a concept used in the fields of linguistics, translation, or education."
prosodically annotated,abstract,,fr,"A small corpus of learner recordings was collected and prosodically annotated using the momel algorithm and the intsint alphabet (hirst & espesser, 1993)","Prosodically annotated refers to A small corpus of learner recordings was collected and prosodically annotated using the momel algorithm and the intsint alphabet (hirst & espesser, 1993).",oui,"Prosodically annotated refers to A small corpus of learner recordings was collected and prosodically annotated using the momel algorithm and the intsint alphabet (hirst & espesser, 1993)."
prosodically annotated using,abstract,,en,"A small corpus of learner recordings was collected and prosodically annotated using the momel algorithm and the intsint alphabet (hirst & espesser, 1993)","Prosodically annotated using refers to A small corpus of learner recordings was collected and prosodically annotated using the momel algorithm and the intsint alphabet (hirst & espesser, 1993).",oui,"Prosodically annotated using refers to A small corpus of learner recordings was collected and prosodically annotated using the momel algorithm and the intsint alphabet (hirst & espesser, 1993)."
prosodie et,abstract,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Prosodie et refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui,Prosodie et refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.
prosodie et sur,abstract,,fr,Les résultats servent de base pour une réflexion sur les niveaux d’abstraction de l’étude de la prosodie et sur les priorités didactiques pour l’enseignement de l’anglais oral au niveau universitaire,Prosodie et sur refers to Les résultats servent de base pour une réflexion sur les niveaux d’abstraction de l’étude de la prosodie et sur les priorités didactiques pour l’enseignement de l’anglais oral au niveau universitaire.,oui,Prosodie et sur refers to Les résultats servent de base pour une réflexion sur les niveaux d’abstraction de l’étude de la prosodie et sur les priorités didactiques pour l’enseignement de l’anglais oral au niveau universitaire.
prosodie interlangue,abstract,,fr,,,non,"Prosodie interlangue est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
prosodie interlangue il,abstract,,fr,,,non,"Prosodie interlangue il est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
prosodie pour,abstract,,fr,"La première est une étude sur les méthodes de conception et de représentation de la prosodie pour l’analyse de l’interlangue, un système linguistique hybride présentant des caractéristiques de la langue maternelle de l’apprenant, des caractéristiques de la langue cible et des caractéristiques intermédiaires ou développementales","Prosodie pour refers to La première est une étude sur les méthodes de conception et de représentation de la prosodie pour l’analyse de l’interlangue, un système linguistique hybride présentant des caractéristiques de la langue maternelle de l’apprenant, des caractéristiques de la langue cible et des caractéristiques intermédiaires ou développementales.",oui,"Prosodie pour refers to La première est une étude sur les méthodes de conception et de représentation de la prosodie pour l’analyse de l’interlangue, un système linguistique hybride présentant des caractéristiques de la langue maternelle de l’apprenant, des caractéristiques de la langue cible et des caractéristiques intermédiaires ou développementales."
prosodie pour analyse,abstract,,fr,,,non,"Prosodie pour analyse est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
prosodie qui,abstract,,es,Nous nous sommes intéressés à la prosodie qui est l'un des aspects souvent signalés comme étant fortement altérés dans la maladie de parkinson,Prosodie qui refers to Nous nous sommes intéressés à la prosodie qui est l'un des aspects souvent signalés comme étant fortement altérés dans la maladie de parkinson.,oui,Prosodie qui refers to Nous nous sommes intéressés à la prosodie qui est l'un des aspects souvent signalés comme étant fortement altérés dans la maladie de parkinson.
prosodie qui est,abstract,,fr,Nous nous sommes intéressés à la prosodie qui est l'un des aspects souvent signalés comme étant fortement altérés dans la maladie de parkinson,Prosodie qui est refers to Nous nous sommes intéressés à la prosodie qui est l'un des aspects souvent signalés comme étant fortement altérés dans la maladie de parkinson.,oui,Prosodie qui est refers to Nous nous sommes intéressés à la prosodie qui est l'un des aspects souvent signalés comme étant fortement altérés dans la maladie de parkinson.
prosodique des,abstract,,fr,Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol,Prosodique des refers to Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol.,oui,Prosodique des refers to Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol.
prosodique des apprenants,abstract,,fr,Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol,Prosodique des apprenants refers to Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol.,oui,Prosodique des apprenants refers to Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol.
prosodiques la,abstract,,fr,,,non,"Prosodiques la est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
prosodiques la deuxième,abstract,,fr,,,non,"Prosodiques la deuxième est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
prosody analysis,abstract,,fr,,,non,"Prosody analysis est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
prosody analysis interlanguage,abstract,,en,,,non,"Prosody analysis interlanguage is a concept used in the fields of linguistics, translation, or education."
prosody aspects,abstract,,fr,,,non,"Prosody aspects est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
prosody aspects reported,abstract,,en,,,non,"Prosody aspects reported is a concept used in the fields of linguistics, translation, or education."
prosody didactic,abstract,,es,,,non,"Prosody didactic es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
prosody didactic priorities,abstract,,es,,,non,"Prosody didactic priorities es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
prosody preliminary,abstract,,fr,,,non,"Prosody preliminary est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
prosody preliminary phonetic,abstract,,en,,,non,"Prosody preliminary phonetic is a concept used in the fields of linguistics, translation, or education."
protocole expérimental,abstract,,fr,"En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.","Protocole expérimental refers to En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.",oui,"Protocole expérimental refers to En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental."
protocole expérimental et,abstract,,fr,"En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.","Protocole expérimental et refers to En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.",oui,"Protocole expérimental et refers to En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental."
protocole pré,abstract,,fr,"Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale","Protocole pré refers to Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale.",oui,"Protocole pré refers to Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale."
protocole pré test,abstract,,fr,,,non,"Protocole pré test est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
provides evidence,abstract,,es,"This study provides evidence from five verb paradigms to show that the quality of a stem suffix, and its absence or presence, is determined by a combination of factors including [atr], sonorancy, and prosody","Provides evidence refers to This study provides evidence from five verb paradigms to show that the quality of a stem suffix, and its absence or presence, is determined by a combination of factors including [atr], sonorancy, and prosody.",oui,"Provides evidence refers to This study provides evidence from five verb paradigms to show that the quality of a stem suffix, and its absence or presence, is determined by a combination of factors including [atr], sonorancy, and prosody."
provides evidence verb,abstract,,es,,,non,"Provides evidence verb es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
provides methodological,abstract,,fr,,,non,"Provides methodological est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
provides methodological framework,abstract,,en,,,non,"Provides methodological framework is a concept used in the fields of linguistics, translation, or education."
provocar en,abstract,,es,The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase,Provocar en refers to The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase.,oui,Provocar en refers to The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase.
provocar en los,abstract,,es,The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase,Provocar en los refers to The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase.,oui,Provocar en los refers to The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase.
proéminence et,abstract,,fr,"Différents aspects tels que les métriques basées sur la durée des voyelles et des consonnes, la proéminence et le délai d'initialisation ont été analysés","Proéminence et refers to Différents aspects tels que les métriques basées sur la durée des voyelles et des consonnes, la proéminence et le délai d'initialisation ont été analysés.",oui,"Proéminence et refers to Différents aspects tels que les métriques basées sur la durée des voyelles et des consonnes, la proéminence et le délai d'initialisation ont été analysés."
proéminence et le,abstract,,fr,"Différents aspects tels que les métriques basées sur la durée des voyelles et des consonnes, la proéminence et le délai d'initialisation ont été analysés","Proéminence et le refers to Différents aspects tels que les métriques basées sur la durée des voyelles et des consonnes, la proéminence et le délai d'initialisation ont été analysés.",oui,"Proéminence et le refers to Différents aspects tels que les métriques basées sur la durée des voyelles et des consonnes, la proéminence et le délai d'initialisation ont été analysés."
pré test,abstract,,fr,,,non,"Pré test est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
pré test post,abstract,,fr,,,non,"Pré test post est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
précédente sur,abstract,,fr,Nous comparons ces résultats avec notre étude précédente sur /s/ et /z/ non-morphémiques par les mêmes locuteurs et nous les discutons en relation avec la marque de ces deux sons,Précédente sur refers to Nous comparons ces résultats avec notre étude précédente sur /s/ et /z/ non-morphémiques par les mêmes locuteurs et nous les discutons en relation avec la marque de ces deux sons.,oui,Précédente sur refers to Nous comparons ces résultats avec notre étude précédente sur /s/ et /z/ non-morphémiques par les mêmes locuteurs et nous les discutons en relation avec la marque de ces deux sons.
précédente sur et,abstract,,fr,,,non,"Précédente sur et est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
prédictions ne,abstract,,fr,Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité,Prédictions ne refers to Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité.,oui,Prédictions ne refers to Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité.
prédictions ne sont,abstract,,fr,Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité,Prédictions ne sont refers to Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité.,oui,Prédictions ne sont refers to Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité.
préliminaires et,abstract,,fr,Nous discutons des résultats préliminaires et de la pertinence de notre approche,Préliminaires et refers to Nous discutons des résultats préliminaires et de la pertinence de notre approche.,oui,Préliminaires et refers to Nous discutons des résultats préliminaires et de la pertinence de notre approche.
préliminaires et la,abstract,,fr,,,non,"Préliminaires et la est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
présentant des,abstract,,fr,"La première est une étude sur les méthodes de conception et de représentation de la prosodie pour l’analyse de l’interlangue, un système linguistique hybride présentant des caractéristiques de la langue maternelle de l’apprenant, des caractéristiques de la langue cible et des caractéristiques intermédiaires ou développementales","Présentant des refers to La première est une étude sur les méthodes de conception et de représentation de la prosodie pour l’analyse de l’interlangue, un système linguistique hybride présentant des caractéristiques de la langue maternelle de l’apprenant, des caractéristiques de la langue cible et des caractéristiques intermédiaires ou développementales.",oui,"Présentant des refers to La première est une étude sur les méthodes de conception et de représentation de la prosodie pour l’analyse de l’interlangue, un système linguistique hybride présentant des caractéristiques de la langue maternelle de l’apprenant, des caractéristiques de la langue cible et des caractéristiques intermédiaires ou développementales."
présentant des caractéristiques,abstract,,fr,"La première est une étude sur les méthodes de conception et de représentation de la prosodie pour l’analyse de l’interlangue, un système linguistique hybride présentant des caractéristiques de la langue maternelle de l’apprenant, des caractéristiques de la langue cible et des caractéristiques intermédiaires ou développementales","Présentant des caractéristiques refers to La première est une étude sur les méthodes de conception et de représentation de la prosodie pour l’analyse de l’interlangue, un système linguistique hybride présentant des caractéristiques de la langue maternelle de l’apprenant, des caractéristiques de la langue cible et des caractéristiques intermédiaires ou développementales.",oui,"Présentant des caractéristiques refers to La première est une étude sur les méthodes de conception et de représentation de la prosodie pour l’analyse de l’interlangue, un système linguistique hybride présentant des caractéristiques de la langue maternelle de l’apprenant, des caractéristiques de la langue cible et des caractéristiques intermédiaires ou développementales."
présente et,abstract,,fr,,,non,"Présente et est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
présente et en,abstract,,fr,,,non,"Présente et en est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
présente étude,abstract,,fr,"Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar","Présente étude refers to Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar.",oui,"Présente étude refers to Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar."
présente étude nous,abstract,,fr,,,non,"Présente étude nous est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
présente étude réalise,abstract,,fr,La présente étude réalise une analyse phonétique exploratoire de la prosodie de l’interlangue (il) des apprenants d’anglais ayant l’espagnol du chili ou le français de france comme langue maternelle (l1),Présente étude réalise refers to La présente étude réalise une analyse phonétique exploratoire de la prosodie de l’interlangue (il) des apprenants d’anglais ayant l’espagnol du chili ou le français de france comme langue maternelle (l1).,oui,Présente étude réalise refers to La présente étude réalise une analyse phonétique exploratoire de la prosodie de l’interlangue (il) des apprenants d’anglais ayant l’espagnol du chili ou le français de france comme langue maternelle (l1).
présentons les,abstract,,fr,"Dans cette contribution, nous présentons les résultats d'une étude de cas sur l'impact de l'amorçage rythmique, c'est-à-dire l'écoute des stimuli auditifs rythmiques, sur la production de la parole dans la maladie de parkinson","Présentons les refers to Dans cette contribution, nous présentons les résultats d'une étude de cas sur l'impact de l'amorçage rythmique, c'est-à-dire l'écoute des stimuli auditifs rythmiques, sur la production de la parole dans la maladie de parkinson.",oui,"Présentons les refers to Dans cette contribution, nous présentons les résultats d'une étude de cas sur l'impact de l'amorçage rythmique, c'est-à-dire l'écoute des stimuli auditifs rythmiques, sur la production de la parole dans la maladie de parkinson."
présentons les résultats,abstract,,fr,"Dans cette contribution, nous présentons les résultats d'une étude de cas sur l'impact de l'amorçage rythmique, c'est-à-dire l'écoute des stimuli auditifs rythmiques, sur la production de la parole dans la maladie de parkinson","Présentons les résultats refers to Dans cette contribution, nous présentons les résultats d'une étude de cas sur l'impact de l'amorçage rythmique, c'est-à-dire l'écoute des stimuli auditifs rythmiques, sur la production de la parole dans la maladie de parkinson.",oui,"Présentons les résultats refers to Dans cette contribution, nous présentons les résultats d'une étude de cas sur l'impact de l'amorçage rythmique, c'est-à-dire l'écoute des stimuli auditifs rythmiques, sur la production de la parole dans la maladie de parkinson."
présentons une,abstract,,fr,Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental,Présentons une refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.,oui,Présentons une refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.
présentons une réflexion,abstract,,fr,Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental,Présentons une réflexion refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.,oui,Présentons une réflexion refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.
pueden provocar,abstract,,es,The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase,Pueden provocar refers to The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase.,oui,Pueden provocar refers to The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase.
pueden provocar en,abstract,,es,The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase,Pueden provocar en refers to The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase.,oui,Pueden provocar en refers to The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase.
périodicité cependant,abstract,,fr,,,non,"Périodicité cependant est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
périodicité cependant les,abstract,,fr,,,non,"Périodicité cependant les est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
périodicité toutes,abstract,,fr,,,non,"Périodicité toutes est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
périodicité toutes les,abstract,,fr,,,non,"Périodicité toutes les est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
qu en,abstract,,fr,,,non,"Qu en est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
qu en français,abstract,,fr,,,non,"Qu en français est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
qu enseignants,abstract,,fr,,,non,"Qu enseignants est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
qu enseignants langues,abstract,,fr,,,non,"Qu enseignants langues est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
qu ils,abstract,,fr,,,non,"Qu ils est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
qu ils ont,abstract,,fr,,,non,"Qu ils ont est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
quality stem,abstract,,en,,,non,"Quality stem is a concept used in the fields of linguistics, translation, or education."
quality stem suffix,abstract,,en,,,non,"Quality stem suffix is a concept used in the fields of linguistics, translation, or education."
qualité phonèmes,abstract,,fr,,,non,"Qualité phonèmes est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
qualité phonèmes en,abstract,,fr,,,non,"Qualité phonèmes en est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
quantitative analysis,abstract,,fr,The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase,Quantitative analysis refers to The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase.,oui,Quantitative analysis refers to The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase.
quantitative analysis data,abstract,,fr,,,non,"Quantitative analysis data est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
que adoptaron,abstract,,es,Se busca además identificar las diferentes estrategias que adoptaron los traductores en cada idioma para traspasar los elementos de sinsentido característicos de estos cuentos,Que adoptaron refers to Se busca además identificar las diferentes estrategias que adoptaron los traductores en cada idioma para traspasar los elementos de sinsentido característicos de estos cuentos.,oui,Que adoptaron refers to Se busca además identificar las diferentes estrategias que adoptaron los traductores en cada idioma para traspasar los elementos de sinsentido característicos de estos cuentos.
que adoptaron los,abstract,,es,Se busca además identificar las diferentes estrategias que adoptaron los traductores en cada idioma para traspasar los elementos de sinsentido característicos de estos cuentos,Que adoptaron los refers to Se busca además identificar las diferentes estrategias que adoptaron los traductores en cada idioma para traspasar los elementos de sinsentido característicos de estos cuentos.,oui,Que adoptaron los refers to Se busca además identificar las diferentes estrategias que adoptaron los traductores en cada idioma para traspasar los elementos de sinsentido característicos de estos cuentos.
que des,abstract,,fr,Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol,Que des refers to Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol.,oui,Que des refers to Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol.
que des caractéristiques,abstract,,fr,"Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs","Que des caractéristiques refers to Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs.",oui,"Que des caractéristiques refers to Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs."
que existe,abstract,,fr,El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,Que existe refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,oui,Que existe refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.
que existe una,abstract,,es,El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,Que existe una refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,oui,Que existe una refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.
