term,source,definition,langue,auto_definition,definition_finale,valide_auto
results serve,abstract,,fr,The results serve as a basis for reflection on the levels of abstraction in the study of prosody and on the didactic priorities for teaching oral english at a university level.,Results serve refers to The results serve as a basis for reflection on the levels of abstraction in the study of prosody and on the didactic priorities for teaching oral english at a university level.,oui
results serve basis,abstract,,en,,"Results serve basis is a concept used in the fields of linguistics, translation, or education.",non
results tendency,abstract,,fr,,"Results tendency est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
results tendency semantic,abstract,,fr,,"Results tendency semantic est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
results traces,abstract,,fr,,"Results traces est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
results traces influence,abstract,,fr,,"Results traces influence est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
revanche les,abstract,,fr,,"Revanche les est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
revanche les limites,abstract,,fr,,"Revanche les limites est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
reveal differences,abstract,,fr,"Additionally, if taken together, the results of this and our previous study reveal differences in the voicing of morphemic vs non-morphemic realizations for sibilants in l2 english (similar to l1 english)","Reveal differences refers to Additionally, if taken together, the results of this and our previous study reveal differences in the voicing of morphemic vs non-morphemic realizations for sibilants in l2 english (similar to l1 english).",oui
reveal differences voicing,abstract,,en,,"Reveal differences voicing is a concept used in the fields of linguistics, translation, or education.",non
review research,abstract,,en,,"Review research is a concept used in the fields of linguistics, translation, or education.",non
review research role,abstract,,en,,"Review research role is a concept used in the fields of linguistics, translation, or education.",non
reçu correction,abstract,,fr,,"Reçu correction est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
reçu correction multimodale,abstract,,fr,,"Reçu correction multimodale est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
reçu des,abstract,,fr,"Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale","Reçu des refers to Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale.",oui
reçu des gestes,abstract,,fr,"Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale","Reçu des gestes refers to Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale.",oui
rhythm analysis,abstract,,fr,"We present a speech rhythm analysis workflow based on two different but complementary methodologies: one at a segmental/syllabic level, and another one at a suprasegmental/prosodic level","Rhythm analysis refers to We present a speech rhythm analysis workflow based on two different but complementary methodologies: one at a segmental/syllabic level, and another one at a suprasegmental/prosodic level.",oui
rhythm analysis workflow,abstract,,en,"We present a speech rhythm analysis workflow based on two different but complementary methodologies: one at a segmental/syllabic level, and another one at a suprasegmental/prosodic level","Rhythm analysis workflow refers to We present a speech rhythm analysis workflow based on two different but complementary methodologies: one at a segmental/syllabic level, and another one at a suprasegmental/prosodic level.",oui
rhythm consistent,abstract,,en,,"Rhythm consistent is a concept used in the fields of linguistics, translation, or education.",non
rhythm consistent rhythmic,abstract,,en,,"Rhythm consistent rhythmic is a concept used in the fields of linguistics, translation, or education.",non
rhythm inconsistent,abstract,,en,,"Rhythm inconsistent is a concept used in the fields of linguistics, translation, or education.",non
rhythm inconsistent target,abstract,,en,,"Rhythm inconsistent target is a concept used in the fields of linguistics, translation, or education.",non
rhythm metrics,abstract,,fr,"Different aspects such as speech rhythm metrics based on vowel and consonant duration, prominence and reading latency were analyzed","Rhythm metrics refers to Different aspects such as speech rhythm metrics based on vowel and consonant duration, prominence and reading latency were analyzed.",oui
rhythm metrics based,abstract,,en,"Different aspects such as speech rhythm metrics based on vowel and consonant duration, prominence and reading latency were analyzed","Rhythm metrics based refers to Different aspects such as speech rhythm metrics based on vowel and consonant duration, prominence and reading latency were analyzed.",oui
rhythm metrics vary,abstract,,en,Preliminary results show that both segmental and suprasegmental rhythm metrics vary in different priming conditions,Rhythm metrics vary refers to Preliminary results show that both segmental and suprasegmental rhythm metrics vary in different priming conditions.,oui
rhythm peering,abstract,,fr,,"Rhythm peering est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
rhythm peering potential,abstract,,en,,"Rhythm peering potential is a concept used in the fields of linguistics, translation, or education.",non
rhythm people,abstract,,fr,,"Rhythm people est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
rhythm people parkinson,abstract,,en,,"Rhythm people parkinson is a concept used in the fields of linguistics, translation, or education.",non
rhythmic auditory,abstract,,fr,"Listening to rhythmic auditory stimuli, on speech production in parkinson’s disease","Rhythmic auditory refers to Listening to rhythmic auditory stimuli, on speech production in parkinson’s disease.",oui
rhythmic auditory stimuli,abstract,,en,"Listening to rhythmic auditory stimuli, on speech production in parkinson’s disease","Rhythmic auditory stimuli refers to Listening to rhythmic auditory stimuli, on speech production in parkinson’s disease.",oui
rhythmic features,abstract,,en,Descriptive prosodic analyses show that some intonational and rhythmic features of l1 french are transferred onto learners' l2 english oral production,Rhythmic features refers to Descriptive prosodic analyses show that some intonational and rhythmic features of l1 french are transferred onto learners' l2 english oral production.,oui
rhythmic features l1,abstract,,en,,"Rhythmic features l1 is a concept used in the fields of linguistics, translation, or education.",non
rhythmic priming,abstract,,en,A bimodal approach to study the effects of rhythmic priming,Rhythmic priming refers to A bimodal approach to study the effects of rhythmic priming.,oui
rhythmic priming listening,abstract,,en,,"Rhythmic priming listening is a concept used in the fields of linguistics, translation, or education.",non
rhythmic priming rhythmic,abstract,,fr,,"Rhythmic priming rhythmic est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
rhythmic stimuli,abstract,,fr,Rhythmic stimuli presented to speakers before elocution-on the speech rhythm of people with parkinson's disease,Rhythmic stimuli refers to Rhythmic stimuli presented to speakers before elocution-on the speech rhythm of people with parkinson's disease.,oui
rhythmic stimuli presented,abstract,,en,Rhythmic stimuli presented to speakers before elocution-on the speech rhythm of people with parkinson's disease,Rhythmic stimuli presented refers to Rhythmic stimuli presented to speakers before elocution-on the speech rhythm of people with parkinson's disease.,oui
rhythmic structure,abstract,,en,"Three conditions were studied : a condition where the rhythm was consistent with the rhythmic structure of the target sentence, a condition where the rhythm was inconsistent with the target sentence, and a condition without priming","Rhythmic structure refers to Three conditions were studied : a condition where the rhythm was consistent with the rhythmic structure of the target sentence, a condition where the rhythm was inconsistent with the target sentence, and a condition without priming.",oui
rhythmic structure target,abstract,,en,,"Rhythmic structure target is a concept used in the fields of linguistics, translation, or education.",non
rigoureux comme,abstract,,fr,"Dans cet objectif, nous avons suivi le modèle d'analyse des traductions littéraires proposé par van leuven-zwart, afin d'évaluer l'efficacité d'un système de comparaison rigoureux comme celui-ci sur des textes surréalistes","Rigoureux comme refers to Dans cet objectif, nous avons suivi le modèle d'analyse des traductions littéraires proposé par van leuven-zwart, afin d'évaluer l'efficacité d'un système de comparaison rigoureux comme celui-ci sur des textes surréalistes.",oui
rigoureux comme celui,abstract,,fr,"Dans cet objectif, nous avons suivi le modèle d'analyse des traductions littéraires proposé par van leuven-zwart, afin d'évaluer l'efficacité d'un système de comparaison rigoureux comme celui-ci sur des textes surréalistes","Rigoureux comme celui refers to Dans cet objectif, nous avons suivi le modèle d'analyse des traductions littéraires proposé par van leuven-zwart, afin d'évaluer l'efficacité d'un système de comparaison rigoureux comme celui-ci sur des textes surréalistes.",oui
riguroso como,abstract,,fr,"Para ello, se sigue el modelo para análisis de traducciones literarias propuesto por van leuven-zwart, con la finalidad de evaluar la efectividad de la aplicación de un sistema de comparación riguroso como éste en textos surrealistas","Riguroso como refers to Para ello, se sigue el modelo para análisis de traducciones literarias propuesto por van leuven-zwart, con la finalidad de evaluar la efectividad de la aplicación de un sistema de comparación riguroso como éste en textos surrealistas.",oui
riguroso como éste,abstract,,fr,"Para ello, se sigue el modelo para análisis de traducciones literarias propuesto por van leuven-zwart, con la finalidad de evaluar la efectividad de la aplicación de un sistema de comparación riguroso como éste en textos surrealistas","Riguroso como éste refers to Para ello, se sigue el modelo para análisis de traducciones literarias propuesto por van leuven-zwart, con la finalidad de evaluar la efectividad de la aplicación de un sistema de comparación riguroso como éste en textos surrealistas.",oui
rigurous method,abstract,,en,"This analysis follows van leuven-zwart's model for the analysis of literary translations, with the aim of assessing the effectiveness of this rigurous method when applied to surrealist texts","Rigurous method refers to This analysis follows van leuven-zwart's model for the analysis of literary translations, with the aim of assessing the effectiveness of this rigurous method when applied to surrealist texts.",oui
rigurous method applied,abstract,,en,,"Rigurous method applied is a concept used in the fields of linguistics, translation, or education.",non
role place,abstract,,fr,,"Role place est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
role place affect,abstract,,fr,,"Role place affect est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
root final,abstract,,en,,"Root final is a concept used in the fields of linguistics, translation, or education.",non
root final consonants,abstract,,en,,"Root final consonants is a concept used in the fields of linguistics, translation, or education.",non
root final sonorants,abstract,,en,,"Root final sonorants is a concept used in the fields of linguistics, translation, or education.",non
rule predictions,abstract,,fr,,"Rule predictions est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
rule predictions partially,abstract,,en,,"Rule predictions partially is a concept used in the fields of linguistics, translation, or education.",non
rule word,abstract,,fr,,"Rule word est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
rule word final,abstract,,en,,"Rule word final is a concept used in the fields of linguistics, translation, or education.",non
rythme était,abstract,,fr,"Trois conditions ont été étudiées : une condition où le rythme était cohérent avec la structure rythmique de la phrase cible, une condition où le rythme était incohérent avec la phrase cible et une condition sans amorçage","Rythme était refers to Trois conditions ont été étudiées : une condition où le rythme était cohérent avec la structure rythmique de la phrase cible, une condition où le rythme était incohérent avec la phrase cible et une condition sans amorçage.",oui
rythme était cohérent,abstract,,fr,"Trois conditions ont été étudiées : une condition où le rythme était cohérent avec la structure rythmique de la phrase cible, une condition où le rythme était incohérent avec la phrase cible et une condition sans amorçage","Rythme était cohérent refers to Trois conditions ont été étudiées : une condition où le rythme était cohérent avec la structure rythmique de la phrase cible, une condition où le rythme était incohérent avec la phrase cible et une condition sans amorçage.",oui
rythme était incohérent,abstract,,fr,"Trois conditions ont été étudiées : une condition où le rythme était cohérent avec la structure rythmique de la phrase cible, une condition où le rythme était incohérent avec la phrase cible et une condition sans amorçage","Rythme était incohérent refers to Trois conditions ont été étudiées : une condition où le rythme était cohérent avec la structure rythmique de la phrase cible, une condition où le rythme était incohérent avec la phrase cible et une condition sans amorçage.",oui
rythmique est,abstract,,fr,,"Rythmique est est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
rythmique est dire,abstract,,fr,,"Rythmique est dire est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
rythmique la,abstract,,fr,,"Rythmique la est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
rythmique la phrase,abstract,,fr,,"Rythmique la phrase est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
rythmiques sur,abstract,,fr,,"Rythmiques sur est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
rythmiques sur la,abstract,,fr,,"Rythmiques sur la est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
règle assimilation,abstract,,fr,,"Règle assimilation est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
règle assimilation progressive,abstract,,fr,,"Règle assimilation progressive est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
règle assimilation voisement,abstract,,fr,,"Règle assimilation voisement est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
règle voisement,abstract,,fr,,"Règle voisement est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
règle voisement manière,abstract,,fr,,"Règle voisement manière est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
réalisations du,abstract,,fr,"Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs","Réalisations du refers to Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs.",oui
réalisations du morphémique,abstract,,fr,,"Réalisations du morphémique est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
réalise une,abstract,,fr,La présente étude réalise une analyse phonétique exploratoire de la prosodie de l’interlangue (il) des apprenants d’anglais ayant l’espagnol du chili ou le français de france comme langue maternelle (l1),Réalise une refers to La présente étude réalise une analyse phonétique exploratoire de la prosodie de l’interlangue (il) des apprenants d’anglais ayant l’espagnol du chili ou le français de france comme langue maternelle (l1).,oui
réalise une analyse,abstract,,fr,La présente étude réalise une analyse phonétique exploratoire de la prosodie de l’interlangue (il) des apprenants d’anglais ayant l’espagnol du chili ou le français de france comme langue maternelle (l1),Réalise une analyse refers to La présente étude réalise une analyse phonétique exploratoire de la prosodie de l’interlangue (il) des apprenants d’anglais ayant l’espagnol du chili ou le français de france comme langue maternelle (l1).,oui
réalisent la,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Réalisent la refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
réalisent la focalisation,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Réalisent la focalisation refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
réalisée dans,abstract,,fr,Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental,Réalisée dans refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.,oui
réalisée dans le,abstract,,fr,Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental,Réalisée dans le refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.,oui
réalisée travers,abstract,,fr,,"Réalisée travers est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
réalisée travers étude,abstract,,fr,,"Réalisée travers étude est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
réalisées groupe,abstract,,fr,,"Réalisées groupe est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
réalisées groupe test,abstract,,fr,,"Réalisées groupe test est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
réflexion méthodologique,abstract,,fr,Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental,Réflexion méthodologique refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.,oui
réflexion méthodologique la,abstract,,fr,,"Réflexion méthodologique la est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
réflexion sur,abstract,,fr,Les résultats servent de base pour une réflexion sur les niveaux d’abstraction de l’étude de la prosodie et sur les priorités didactiques pour l’enseignement de l’anglais oral au niveau universitaire,Réflexion sur refers to Les résultats servent de base pour une réflexion sur les niveaux d’abstraction de l’étude de la prosodie et sur les priorités didactiques pour l’enseignement de l’anglais oral au niveau universitaire.,oui
réflexion sur la,abstract,,fr,Nous proposons dans cet article une réflexion sur la dimension affective qui conditionne l’apprentissage de la prononciation de nos étudiants francophones d’espagnol et d’anglais en lea,Réflexion sur la refers to Nous proposons dans cet article une réflexion sur la dimension affective qui conditionne l’apprentissage de la prononciation de nos étudiants francophones d’espagnol et d’anglais en lea.,oui
réflexion sur les,abstract,,fr,Les résultats servent de base pour une réflexion sur les niveaux d’abstraction de l’étude de la prosodie et sur les priorités didactiques pour l’enseignement de l’anglais oral au niveau universitaire,Réflexion sur les refers to Les résultats servent de base pour une réflexion sur les niveaux d’abstraction de l’étude de la prosodie et sur les priorités didactiques pour l’enseignement de l’anglais oral au niveau universitaire.,oui
réflexions méthodologiques,abstract,,fr,"En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.","Réflexions méthodologiques refers to En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.",oui
réflexions méthodologiques liées,abstract,,fr,"En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.","Réflexions méthodologiques liées refers to En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.",oui
régularités et,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Régularités et refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
régularités et les,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Régularités et les refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
répartis entre,abstract,,fr,"Nous avons enregistré 45 étudiants japonophones de fle, équitablement répartis entre les trois groupes","Répartis entre refers to Nous avons enregistré 45 étudiants japonophones de fle, équitablement répartis entre les trois groupes.",oui
répartis entre les,abstract,,fr,"Nous avons enregistré 45 étudiants japonophones de fle, équitablement répartis entre les trois groupes","Répartis entre les refers to Nous avons enregistré 45 étudiants japonophones de fle, équitablement répartis entre les trois groupes.",oui
répercussions sur,abstract,,fr,"Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.","Répercussions sur refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.",oui
répercussions sur le,abstract,,fr,"Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.","Répercussions sur le refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.",oui
répercussions sur les,abstract,,fr,"Cela pourrait avoir des répercussions sur les modèles d’acquisition de la phonologie des langues secondes, car ces modèles ne prennent actuellement pas en compte une interaction entre les sons d’une l2 et leur statut morphologique.","Répercussions sur les refers to Cela pourrait avoir des répercussions sur les modèles d’acquisition de la phonologie des langues secondes, car ces modèles ne prennent actuellement pas en compte une interaction entre les sons d’une l2 et leur statut morphologique.",oui
résultats avec,abstract,,fr,Nous comparons ces résultats avec notre étude précédente sur /s/ et /z/ non-morphémiques par les mêmes locuteurs et nous les discutons en relation avec la marque de ces deux sons,Résultats avec refers to Nous comparons ces résultats avec notre étude précédente sur /s/ et /z/ non-morphémiques par les mêmes locuteurs et nous les discutons en relation avec la marque de ces deux sons.,oui
résultats avec notre,abstract,,fr,Nous comparons ces résultats avec notre étude précédente sur /s/ et /z/ non-morphémiques par les mêmes locuteurs et nous les discutons en relation avec la marque de ces deux sons,Résultats avec notre refers to Nous comparons ces résultats avec notre étude précédente sur /s/ et /z/ non-morphémiques par les mêmes locuteurs et nous les discutons en relation avec la marque de ces deux sons.,oui
résultats démontrent,abstract,,fr,"Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.","Résultats démontrent refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.",oui
résultats démontrent aussi,abstract,,fr,"Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.","Résultats démontrent aussi refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.",oui
résultats montrent,abstract,,fr,"Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs","Résultats montrent refers to Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs.",oui
résultats montrent des,abstract,,fr,"Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs","Résultats montrent des refers to Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs.",oui
résultats nos,abstract,,fr,,"Résultats nos est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
résultats nos deux,abstract,,fr,,"Résultats nos deux est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
résultats obtenus,abstract,,fr,Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité,Résultats obtenus refers to Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité.,oui
résultats obtenus les,abstract,,fr,,"Résultats obtenus les est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
résultats préliminaires,abstract,,fr,Nous discutons des résultats préliminaires et de la pertinence de notre approche,Résultats préliminaires refers to Nous discutons des résultats préliminaires et de la pertinence de notre approche.,oui
résultats préliminaires et,abstract,,fr,Nous discutons des résultats préliminaires et de la pertinence de notre approche,Résultats préliminaires et refers to Nous discutons des résultats préliminaires et de la pertinence de notre approche.,oui
résultats servent,abstract,,fr,Les résultats servent de base pour une réflexion sur les niveaux d’abstraction de l’étude de la prosodie et sur les priorités didactiques pour l’enseignement de l’anglais oral au niveau universitaire,Résultats servent refers to Les résultats servent de base pour une réflexion sur les niveaux d’abstraction de l’étude de la prosodie et sur les priorités didactiques pour l’enseignement de l’anglais oral au niveau universitaire.,oui
résultats servent base,abstract,,fr,,"Résultats servent base est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
résultats une,abstract,,fr,,"Résultats une est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
résultats une analyse,abstract,,fr,,"Résultats une analyse est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
résultats une étude,abstract,,fr,,"Résultats une étude est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
réussissent effectivement,abstract,,fr,Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité,Réussissent effectivement refers to Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité.,oui
réussissent effectivement mieux,abstract,,fr,Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité,Réussissent effectivement mieux refers to Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité.,oui
révèle pas,abstract,,fr,"Nous proposons que l’opposition de voix entre /s/ ~ /z/ pourrait constituer une exception à la hiérarchie de la marque pour les contrastes de voix des consonnes obstruantes (début de mot < milieu de mot < fin de mot), où la position finale de mot ne se révèle pas plus marquée que les autres","Révèle pas refers to Nous proposons que l’opposition de voix entre /s/ ~ /z/ pourrait constituer une exception à la hiérarchie de la marque pour les contrastes de voix des consonnes obstruantes (début de mot < milieu de mot < fin de mot), où la position finale de mot ne se révèle pas plus marquée que les autres.",oui
